image_path,purity,weight,fraud,type
gold_sample_0.jpg,2,6.81,0,4
gold_sample_1.jpg,2,15.85,1,0
gold_sample_2.jpg,3,29.31,1,5
gold_sample_3.jpg,3,34.57,1,8
gold_sample_4.jpg,0,2.95,0,3
gold_sample_5.jpg,1,24.49,1,1
gold_sample_6.jpg,2,25.72,1,0
gold_sample_7.jpg,2,32.49,0,0
gold_sample_8.jpg,0,13.21,1,4
gold_sample_9.jpg,3,27.58,0,4
gold_sample_10.jpg,3,15.94,0,5
gold_sample_11.jpg,0,32.76,0,8
gold_sample_12.jpg,3,49.26,1,9
gold_sample_13.jpg,2,5.95,1,4
gold_sample_14.jpg,3,32.72,0,3
gold_sample_15.jpg,3,11.59,1,3
gold_sample_16.jpg,2,29.5,0,9
gold_sample_17.jpg,3,37.31,1,9
gold_sample_18.jpg,0,25.82,1,9
gold_sample_19.jpg,3,33.9,1,2
gold_sample_20.jpg,0,23.07,1,5
gold_sample_21.jpg,1,18.2,1,3
gold_sample_22.jpg,1,42.31,0,0
gold_sample_23.jpg,3,35.91,0,7
gold_sample_24.jpg,1,19.33,0,4
gold_sample_25.jpg,2,41.86,0,9
gold_sample_26.jpg,2,23.49,0,3
gold_sample_27.jpg,2,43.53,0,8
gold_sample_28.jpg,1,42.12,1,1
gold_sample_29.jpg,3,3.43,0,0
gold_sample_30.jpg,1,31.56,0,4
gold_sample_31.jpg,2,28.29,0,9
gold_sample_32.jpg,0,6.29,0,2
gold_sample_33.jpg,1,23.57,0,0
gold_sample_34.jpg,2,18.93,1,4
gold_sample_35.jpg,0,32.13,0,9
gold_sample_36.jpg,2,49.58,1,9
gold_sample_37.jpg,2,43.11,0,7
gold_sample_38.jpg,1,7.04,0,4
gold_sample_39.jpg,3,37.67,1,8
gold_sample_40.jpg,3,8.37,1,0
gold_sample_41.jpg,2,38.32,1,5
gold_sample_42.jpg,0,34.71,1,8
gold_sample_43.jpg,0,29.32,0,7
gold_sample_44.jpg,1,49.62,1,3
gold_sample_45.jpg,2,41.99,1,1
gold_sample_46.jpg,2,48.28,1,5
gold_sample_47.jpg,3,28.89,1,0
gold_sample_48.jpg,3,42.26,1,3
gold_sample_49.jpg,3,44.39,0,4
gold_sample_50.jpg,2,14.47,0,5
gold_sample_51.jpg,1,20.6,0,8
gold_sample_52.jpg,0,45.23,0,7
gold_sample_53.jpg,2,27.01,0,9
gold_sample_54.jpg,1,26.69,1,6
gold_sample_55.jpg,0,22.38,0,7
gold_sample_56.jpg,1,14.67,1,2
gold_sample_57.jpg,0,12.62,0,8
gold_sample_58.jpg,1,21.76,1,8
gold_sample_59.jpg,1,31.79,1,7
gold_sample_60.jpg,1,29.29,1,4
gold_sample_61.jpg,3,17.58,1,7
gold_sample_62.jpg,1,39.21,0,0
gold_sample_63.jpg,0,49.7,1,3
gold_sample_64.jpg,1,31.3,0,1
gold_sample_65.jpg,3,46.09,0,8
gold_sample_66.jpg,0,36.21,1,9
gold_sample_67.jpg,3,34.87,1,4
gold_sample_68.jpg,2,44.02,0,5
gold_sample_69.jpg,2,30.61,0,3
gold_sample_70.jpg,3,41.79,0,6
gold_sample_71.jpg,2,44.56,0,4
gold_sample_72.jpg,1,40.45,0,7
gold_sample_73.jpg,2,34.76,0,4
gold_sample_74.jpg,0,37.64,0,2
gold_sample_75.jpg,1,33.85,1,2
gold_sample_76.jpg,3,38.7,1,0
gold_sample_77.jpg,1,17.64,0,3
gold_sample_78.jpg,0,15.93,1,1
gold_sample_79.jpg,3,41.08,0,1
gold_sample_80.jpg,0,34.37,1,9
gold_sample_81.jpg,1,25.43,1,0
gold_sample_82.jpg,0,36.89,1,7
gold_sample_83.jpg,0,6.9,1,2
gold_sample_84.jpg,3,13.95,0,8
gold_sample_85.jpg,1,46.49,0,8
gold_sample_86.jpg,1,10.93,0,5
gold_sample_87.jpg,0,34.32,0,6
gold_sample_88.jpg,2,29.09,1,2
gold_sample_89.jpg,2,13.83,1,4
gold_sample_90.jpg,1,12.36,1,7
gold_sample_91.jpg,1,13.19,1,1
gold_sample_92.jpg,1,45.59,0,7
gold_sample_93.jpg,3,14.73,1,7
gold_sample_94.jpg,0,25.71,1,2
gold_sample_95.jpg,2,31.87,0,5
gold_sample_96.jpg,3,17.13,0,6
gold_sample_97.jpg,2,16.65,1,4
gold_sample_98.jpg,3,34.21,1,9
gold_sample_99.jpg,0,47.16,1,5
